instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,1.39195,108159,115382,0
gr96,3.475,2.86958,55209,58238,0
ulysses16,0.008,0.0133095,6859,6875,0
kroA200,32.951,16.9303,29368,31143,0
pr107,4.582,4.04739,44303,44438,0
gr24,0.028,0.0428949,1272,1286,0
tsp225,45.368,23.767,3916,4170,0
eil76,1.549,1.41047,538,565,0
eil101,4.436,3.28826,629,674,0
si535,758.534,343.295,48466.8,48867,0
fri26,0.033,0.0513925,937,974,0
pr144,10.479,9.50398,58537,60060,0
ch130,10.91,6.95568,6110,6409,0
eil51,0.369,0.406164,426,443,0
pr299,130.098,55.9196,48194.8,51693,0
kroD100,4.114,3.17745,21294,21920,0
gr17,0.008,0.0156931,2085,2090,0
gr229,61.498,25.2506,134613,143470,0
brg180,12.824,12.494,1950,2200,0
kroB150,10.634,6.98752,26130,27865,0
ali535,1525,362.897,202384,215505,0
ts225,28.869,23.6496,126643,128564,0
rd400,498.288,145.578,15296.1,16148,0
kroA100,3.468,3.25049,21282,21353,0
hk48,0.336,0.350609,11461,11917,0
dantzig42,0.161,0.236581,699,745,0
ch150,10.43,7.0399,6528,6694,0
gil262,82.271,38.5274,2378.7,2511,0
kroA150,11.751,6.96774,26524,27131,0
u159,10.828,8.20034,42080,43665,0
bayg29,0.043,0.0760424,1610,1628,0
lin318,188.78,69.6354,42045.7,45200,0
pcb442,597.431,194.562,50876,53520,0
ulysses22,0.019,0.0355422,7013,7105,0
kroB100,3.748,3.25252,22141,22911,0
kroE100,3.745,3.26068,22068,22315,0
rat195,28.046,15.3974,2326.1,2492,0
att48,0.3,0.353515,10628,10658,0
d493,1132.48,271.337,35042,37609,0
d198,33.639,16.0852,15780,16043,0
att532,1778.96,351.515,27731,29339,0
berlin52,0.374,0.444403,7542,7685,0
si175,17.333,10.9414,21407,21606,0
burma14,0.004,0.00899001,3323,3323,0
gr21,0.014,0.0290565,2707,2707,0
gr202,37.105,17.415,40160.1,42569,0
st70,1.03,1.07495,675,691,0
kroC100,3.568,3.21214,20749,22521,0
pr264,64.758,39.6533,49135,52568,0
gr137,11.348,8.35391,69853,70525,0
kroB200,35.53,16.7956,29437.2,30417,0
linhp318,187.536,69.2458,42053.1,43431,0
bier127,10.209,6.64269,118282,122709,0
swiss42,0.155,0.230286,1273,1336,0
lin105,4.355,3.74986,14379,15065,0
pr136,13.632,8.13609,96772,103013,0
gr431,721.745,179.525,171530,179763,0
fl417,365.503,165.099,11861,12149,0
pr124,7.021,6.17146,59030,59779,0
pr152,8.708,7.38194,73682,75187,0
rat99,4.115,3.1323,1211,1279,0
brazil58,0.479,0.623453,25395,26808,0
bays29,0.05,0.0770324,2020,2020,0
a280,96.623,46.9104,2579,2734,0
pr226,45.27,24.3345,80369,84020,0
gr48,0.314,0.348765,5046,5165,0
gr120,9.065,5.6354,6942,7227,0
rd100,3.983,3.23923,7910,8428,0
