instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,0.873841,108159,108159,0
gr96,3.475,2.17943,55209,55209,0
ulysses16,0.008,0.00941327,6859,6859,0
kroA200,32.951,19.393,29368,29449,0
pr107,4.582,3.19452,44303,44303,0
gr24,0.028,0.0212539,1272,1272,0
tsp225,45.368,29.596,3916,3950,0
eil76,1.549,0.970583,538,542,0
eil101,4.436,2.94464,629,632,0
si535,758.534,585.387,48466.8,48589,0
fri26,0.033,0.0254458,937,953,0
pr144,10.479,7.20261,58537,58537,0
ch130,10.91,7.45849,6110,6110,0
eil51,0.369,0.256688,426,426,0
pr299,130.098,83.5473,48194.8,48343,0
kroD100,4.114,2.74839,21294,21294,0
gr17,0.008,0.00987548,2085,2085,0
gr229,61.498,37.3348,134613,134843,0
brg180,12.824,7.64279,1950,1970,0
kroB150,10.634,6.39325,26130,26292,0
ali535,1525,1064.59,202384,204479,0
ts225,28.869,18.0267,126643,126643,0
rd400,498.288,340.816,15296.1,15417,0
kroA100,3.468,2.64013,21282,21305,0
hk48,0.336,0.240948,11461,11461,0
dantzig42,0.161,0.12227,699,699,0
ch150,10.43,6.78119,6528,6528,0
gil262,82.271,55.6868,2378.7,2404,0
kroA150,11.751,7.3679,26524,26524,0
u159,10.828,6.70633,42080,43607,0
bayg29,0.043,0.0384447,1610,1610,0
lin318,188.78,122.922,42045.7,42342,0
pcb442,597.431,406.591,50876,51072,0
ulysses22,0.019,0.0195048,7013,7013,0
kroB100,3.748,2.91009,22141,22179,0
kroE100,3.745,2.81762,22068,22106,0
rat195,28.046,21.0033,2326.1,2336,0
att48,0.3,0.255065,10628,10711,0
d493,1132.48,790.276,35042,35350,0
d198,33.639,20.4909,15780,15811,0
att532,1778.96,1126.46,27731,27945,0
berlin52,0.374,0.24871,7542,7542,0
si175,17.333,11.3229,21407,21407,0
burma14,0.004,0.00633516,3323,3323,0
gr21,0.014,0.0138205,2707,2707,0
gr202,37.105,25.3788,40160.1,40632,0
st70,1.03,0.725569,675,680,0
kroC100,3.568,2.46426,20749,20880,0
pr264,64.758,45.0472,49135,49378,0
gr137,11.348,9.19348,69853,69853,0
kroB200,35.53,23.7596,29437.2,29489,0
linhp318,187.536,128.05,42053.1,42499,0
bier127,10.209,6.99687,118282,118282,0
swiss42,0.155,0.128919,1273,1301,0
lin105,4.355,2.87901,14379,14401,0
pr136,13.632,8.79291,96772,96772,0
gr431,721.745,532.791,171530,172163,0
fl417,365.503,253.498,11861,11865,0
pr124,7.021,4.35422,59030,59030,0
pr152,8.708,5.47826,73682,73880,0
rat99,4.115,2.95871,1211,1212,0
brazil58,0.479,0.331593,25395,25395,0
bays29,0.05,0.0399391,2020,2026,0
a280,96.623,61.9975,2579,2588,0
pr226,45.27,29.7089,80369,80373,0
gr48,0.314,0.209155,5046,5055,0
gr120,9.065,6.13596,6942,6942,0
rd100,3.983,2.71387,7910,7944,0
