instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,1.06788,108159,109043,0
gr96,3.475,2.62709,55209,55291,0
ulysses16,0.008,0.00323238,6859,6859,0
kroA200,32.951,23.5132,29368,29368,0
pr107,4.582,3.66703,44303,44387,0
gr24,0.028,0.0360043,1272,1272,0
tsp225,45.368,34.2477,3916,3956,0
eil76,1.549,1.2798,538,539,0
eil101,4.436,3.68835,629,636,0
si535,758.534,631.651,48466.8,48538,0
fri26,0.033,0.0462567,937,937,0
pr144,10.479,8.49849,58537,58537,0
ch130,10.91,8.57663,6110,6148,0
eil51,0.369,0.326685,426,427,0
pr299,130.098,88.5708,48194.8,48291,0
kroD100,4.114,3.05818,21294,21294,0
gr17,0.008,0.0027299,2085,2090,0
gr229,61.498,43.6261,134613,135143,0
brg180,12.824,9.47554,1950,1950,0
kroB150,10.634,8.04699,26130,26329,0
ali535,1525,1051.54,202384,202684,0
ts225,28.869,19.5348,126643,126643,0
rd400,498.288,347.727,15296.1,15398,0
kroA100,3.468,2.55473,21282,21282,0
hk48,0.336,0.293056,11461,11461,0
dantzig42,0.161,0.161483,699,699,0
ch150,10.43,6.82575,6528,6601,0
gil262,82.271,66.3981,2378.7,2415,0
kroA150,11.751,8.60466,26524,26604,0
u159,10.828,7.83555,42080,42080,0
bayg29,0.043,0.0593507,1610,1610,0
lin318,188.78,136.721,42045.7,42348,0
pcb442,597.431,453.7,50876,51147,0
ulysses22,0.019,0.028581,7013,7013,0
kroB100,3.748,2.85179,22141,22199,0
kroE100,3.745,3.04935,22068,22106,0
rat195,28.046,20.9821,2326.1,2347,0
att48,0.3,0.265612,10628,10628,0
d493,1132.48,834.89,35042,35279,0
d198,33.639,22.3507,15780,15786,0
att532,1778.96,1015.46,27731,27801,0
berlin52,0.374,0.306038,7542,7542,0
si175,17.333,12.3695,21407,21417,0
burma14,0.004,0.00161754,3323,3323,0
gr21,0.014,0.0212948,2707,2707,0
gr202,37.105,26.1038,40160.1,40398,0
st70,1.03,0.865087,675,681,0
kroC100,3.568,2.77476,20749,20749,0
pr264,64.758,45.2552,49135,49913,0
gr137,11.348,8.7343,69853,69853,0
kroB200,35.53,25.5639,29437.2,29448,0
linhp318,187.536,131.78,42053.1,42613,0
bier127,10.209,8.91679,118282,118282,0
swiss42,0.155,0.13205,1273,1273,0
lin105,4.355,2.99817,14379,14379,0
pr136,13.632,11.3812,96772,97007,0
gr431,721.745,524.151,171530,172359,0
fl417,365.503,265.744,11861,11878,0
pr124,7.021,5.04505,59030,59030,0
pr152,8.708,6.33389,73682,73818,0
rat99,4.115,3.15392,1211,1211,0
brazil58,0.479,0.380576,25395,25395,0
bays29,0.05,0.0619848,2020,2020,0
a280,96.623,70.9045,2579,2587,0
pr226,45.27,31.9259,80369,80369,0
gr48,0.314,0.246764,5046,5046,0
gr120,9.065,7.17163,6942,6951,0
rd100,3.983,3.46872,7910,7910,0
